timestep,wound_area_pct,margin_cells,wound_edges,cum_T1,cum_seals,cum_divisions
1,99.7668893691813,15,23,1,0,1
2,99.2911074840646,15,23,2,0,2
3,99.072916807132,15,22,2,0,3
4,95.8035952844059,15,22,3,0,3
5,92.9025334159656,15,22,3,0,3
6,90.8440400019037,15,22,3,0,3
7,89.3581914533319,15,22,3,0,3
8,88.138867895085,15,22,3,0,3
9,87.0612502734605,15,22,3,0,3
10,86.2215198126916,15,22,3,0,3
11,85.5393337925932,15,22,3,0,3
12,84.8552164175305,15,22,3,0,3
13,84.2587528379898,15,22,3,0,3
14,83.69071453171,15,22,3,0,3
15,83.164382590404,15,22,3,0,3
16,82.7381658540206,15,22,3,0,3
17,82.3822341922158,15,22,3,0,3
18,82.0800191679509,15,22,3,0,3
19,81.8248329583821,15,22,3,0,3
20,81.6022511586765,15,22,3,0,3
21,81.35009825524,15,22,3,0,4
22,81.0534830052407,15,22,3,0,4
23,79.9653354529261,15,22,3,0,4
24,79.1130565359292,15,22,3,0,4
25,78.7406428173574,15,22,3,0,4
26,78.4908795082745,15,22,3,0,4
27,78.2292317357417,15,22,3,0,4
28,77.9833122972514,15,22,3,0,4
29,77.7724810074994,15,22,3,0,4
30,77.5739116519715,15,22,3,0,4
31,77.3970409445721,15,22,3,0,4
32,77.2332012129202,15,22,3,0,4
33,77.0915252878582,15,22,3,0,4
34,76.9631767737606,15,22,4,0,4
35,76.8461402600827,15,22,4,0,4
36,76.7336659647867,15,22,4,0,4
37,76.6339483130378,15,22,4,0,4
38,76.7484133065878,15,21,5,0,4
39,76.3227480294065,15,21,5,0,5
40,76.5080233417797,15,21,5,0,5
41,76.3945125753016,15,21,6,0,5
42,76.5499980433515,15,21,6,0,5
43,76.4950744402714,15,21,6,0,5
44,76.3586058977407,15,21,6,0,6
45,76.2465560313682,15,21,6,0,6
46,75.8251943662303,15,21,6,0,7
47,75.3514752146206,15,21,6,0,7
48,74.9642988204299,15,21,6,0,7
49,74.4997319101731,15,21,6,0,7
50,74.1658857661547,15,21,6,0,7
51,73.9401944066244,15,21,6,0,7
52,73.77491031091,15,21,7,0,7
53,73.5241076532531,15,21,7,0,7
54,73.5187223963616,15,21,7,0,7
55,71.8799777207881,14,20,7,0,7
56,72.6405641679904,14,20,7,0,7
57,72.8612146561366,14,20,7,0,7
58,72.901560358318,14,20,7,0,7
59,72.8732302036881,14,20,7,0,7
60,72.8277801635194,14,20,7,0,7
61,72.7729647674618,14,20,7,0,7
62,72.7158172074743,14,20,7,0,7
63,72.664252293217,14,20,7,0,7
64,72.6115897677875,14,20,7,0,7
65,72.5676165778606,14,20,7,0,7
66,72.5191272215363,14,20,7,0,7
67,72.451682663835,14,20,7,0,7
68,72.3858916553747,14,20,7,0,7
69,72.3220147594354,14,20,7,0,7
70,72.2655376249641,14,20,7,0,7
71,72.2090572192827,14,20,7,0,7
72,72.1469453582312,14,20,7,0,7
73,72.0726174206639,14,20,7,0,7
74,72.0075217038925,14,20,7,0,7
75,71.9410112373126,14,20,7,0,7
76,71.8843004972412,14,20,7,0,7
77,71.8260427474549,14,20,7,0,7
78,71.7775138115212,14,20,7,0,7
79,72.32742247453,14,19,7,0,7
80,72.1100313253424,14,19,7,0,7
81,72.0491854994927,14,19,7,0,7
82,72.0105596603426,14,19,7,0,7
83,71.9729822732808,14,19,7,0,7
84,71.9437430860878,14,19,7,0,7
85,71.9118490857008,14,19,7,0,7
86,71.8903923969066,14,19,7,0,7
87,71.8689045033253,14,19,7,0,7
88,71.8491133422412,14,19,7,0,7
89,71.767953614779,14,19,7,0,7
90,71.7158027132722,14,19,7,0,7
